@relation 'Domains 05.11.2020 12:35:42'

@attribute DomainLength numeric
@attribute NumberDigits numeric
@attribute NumberVowels numeric
@attribute NumberConsonants numeric
@attribute NumberSpecialCharacters numeric
@attribute NumberUniqueCharacter numeric
@attribute NumberRepetitions numeric
@attribute LengthDigitsSequence numeric
@attribute LengthVowelsSequence numeric
@attribute LengthConsonantSequence numeric
@attribute LengthSpecialCharactersSequence numeric
@attribute RatioDigitToLength numeric
@attribute RatioVowelsToLength numeric
@attribute RatioConsonantsToLength numeric
@attribute RatioSpecialCharactersToLength numeric
@attribute RatioVowelsToConsonants numeric
@attribute RatioUniqueCharacterToLength numeric
@attribute FrequencyRepeat numeric
@attribute FrequencyNgram2 numeric
@attribute FrequencyNgram3 numeric
@attribute FrequencyNgram4 numeric
@attribute FrequencyNgram5 numeric
@attribute class {0,1}

@data
15,2,2,9,0,13,6,2,1,3,0,0.133333,0.133333,0.6,0,0.222222,0.866667,1,-3.161711,-7.522226,-9.457231,-7,0
16,0,5,9,0,11,7,0,1,2,0,0,0.3125,0.5625,0,0.555556,0.6875,1.133333,-5.184346,-7.365302,-10.01275,-8,0
12,0,4,6,0,11,6,0,1,2,0,0,0.333333,0.5,0,0.666667,0.916667,1,-2.293435,-2.305025,-5.172024,-4,0
11,0,4,6,0,10,5,0,1,3,0,0,0.363636,0.545455,0,0.666667,0.909091,1,-2.388338,-3.040183,-4.596795,-3.923077,0
15,0,5,8,0,11,7,0,1,2,0,0,0.333333,0.533333,0,0.625,0.733333,1.142857,-4.812367,-6.333782,-9.562378,-8,0
10,0,4,5,0,9,5,0,2,3,0,0,0.4,0.5,0,0.8,0.9,1,-2.217954,-3.146849,-3.093504,-3,0
18,0,7,10,0,11,8,0,1,2,0,0,0.388889,0.555556,0,0.7,0.611111,1.117647,-2.231608,-2.206435,-3.160516,-11.142857,0
19,0,6,11,0,14,8,0,1,3,0,0,0.315789,0.578947,0,0.545455,0.736842,1.055556,-4.201616,-7.482434,-6.842702,-10.715007,0
26,0,6,18,0,17,8,0,1,4,0,0,0.230769,0.692308,0,0.333333,0.653846,1.04,-2.582532,-6.120596,-11.265787,-20.635547,0
15,0,4,10,0,12,5,0,1,2,0,0,0.266667,0.666667,0,0.4,0.8,1.142857,-1.904648,-3.671791,-5.937568,-10,0
12,0,4,7,0,10,5,0,2,2,0,0,0.333333,0.583333,0,0.571429,0.833333,1,-2.530402,-2.763584,-4.951974,-3,0
10,0,3,6,0,9,4,0,2,3,0,0,0.3,0.6,0,0.5,0.9,1,-1.495492,-1.761544,-1.744719,-4,0
13,0,5,7,0,10,6,0,2,3,0,0,0.384615,0.538462,0,0.714286,0.769231,1.083333,-2.078985,-3.623964,-3.564186,-7,0
10,0,3,6,0,8,4,0,1,2,0,0,0.3,0.6,0,0.5,0.8,1.222222,-0.705893,-1.360408,0.608327,-1,0
19,0,7,10,0,13,9,0,1,2,0,0,0.368421,0.526316,0,0.7,0.684211,1.055556,-6.189115,-8.514134,-11.359155,-11,0
18,0,7,10,0,11,8,0,2,2,0,0,0.388889,0.555556,0,0.7,0.611111,1.058824,-1.672458,-3.225375,-5.242537,-9,0
23,0,11,10,0,14,13,0,2,3,0,0,0.478261,0.434783,0,1.1,0.608696,1.454545,-4.605762,-6.873261,-12.27819,-16,0
7,0,4,2,0,6,5,0,3,1,0,0,0.571429,0.285714,0,2,0.857143,1,-0.73238,-1.094584,-2.969617,-1,0
18,0,5,10,0,12,8,0,1,3,0,0,0.277778,0.555556,0,0.5,0.666667,1.176471,-4.641123,-7.658552,-9.734709,-10,0
24,3,4,12,0,14,12,1,2,3,0,0.125,0.166667,0.5,0,0.333333,0.583333,1.347826,-2.451155,-6.92814,-8.851429,-10,0
15,0,4,10,0,11,5,0,1,3,0,0,0.266667,0.666667,0,0.4,0.733333,1.142857,-1.492466,-3.517244,-5.656615,-7,0
15,0,5,9,0,11,6,0,2,3,0,0,0.333333,0.6,0,0.555556,0.733333,1.071429,-1.445675,-3.672394,-3.097827,-10,0
23,0,8,14,0,15,9,0,1,2,0,0,0.347826,0.608696,0,0.571429,0.652174,1.090909,-1.933764,-1.795064,-3.156975,-12.666667,0
25,0,9,14,0,15,11,0,2,3,0,0,0.36,0.56,0,0.642857,0.6,1.166667,-4.015613,-9.685561,-8.866528,-16,0
17,0,5,11,0,9,6,0,1,4,0,0,0.294118,0.647059,0,0.454545,0.529412,1.125,-2.815211,-4.631716,-3.194228,-8.962745,0
16,0,4,10,0,13,6,0,1,3,0,0,0.25,0.625,0,0.4,0.8125,1,-4.196226,-7.334567,-9.009102,-9,0
15,0,5,9,0,9,6,0,1,3,0,0,0.333333,0.6,0,0.555556,0.6,1.357143,-2.159901,-4.960299,-7.211156,-9,0
18,0,9,8,0,10,10,0,2,1,0,0,0.5,0.444444,0,1.125,0.555556,1.588235,-2.780708,-3.379988,-4.790574,-11,0
7,0,1,5,0,7,2,0,1,3,0,0,0.142857,0.714286,0,0.2,1,1,-0.747405,-1.453386,0.170732,0,0
16,0,5,10,0,11,6,0,1,3,0,0,0.3125,0.625,0,0.5,0.6875,1,-1.753367,-3.443509,-6.527475,-7,0
22,0,8,13,0,16,9,0,3,4,0,0,0.363636,0.590909,0,0.615385,0.727273,1.047619,0.069072,-1.470392,-4.264566,-13.555556,0
21,0,8,11,0,14,10,0,2,2,0,0,0.380952,0.52381,0,0.727273,0.666667,1.1,-3.649896,-6.850174,-10.271317,-13,0
17,3,6,6,0,11,11,3,2,1,0,0.176471,0.352941,0.352941,0,1,0.647059,1.25,-2.482505,-4.977173,-10.887753,-9,0
14,0,4,9,0,12,5,0,1,3,0,0,0.285714,0.642857,0,0.444444,0.857143,1,-0.29913,-0.514238,-1.7783,-6,0
20,0,6,13,0,15,7,0,2,3,0,0,0.3,0.65,0,0.461538,0.75,1.052632,-3.272268,-6.020941,-10.063751,-9,0
8,0,1,6,0,7,2,0,1,2,0,0,0.125,0.75,0,0.166667,0.875,1.142857,-0.363935,-1.061375,-1.598803,0,0
13,0,6,6,0,10,7,0,2,2,0,0,0.461538,0.461538,0,1,0.769231,1,-1.378414,-2.579466,-2.459734,-4.5,0
12,0,3,8,0,10,4,0,1,4,0,0,0.25,0.666667,0,0.375,0.833333,1,-1.521054,-2.934448,-3.324945,-7,0
9,0,5,3,0,9,6,0,2,2,0,0,0.555556,0.333333,0,1.666667,1,1,-0.181295,-0.625398,0.675463,-1,0
17,0,6,9,0,12,8,0,1,2,0,0,0.352941,0.529412,0,0.666667,0.705882,1.1875,-5.005057,-6.540706,-9.937969,-9,0
9,0,5,3,0,7,6,0,2,2,0,0,0.555556,0.333333,0,1.666667,0.777778,1,-2.10019,-2.947685,-1.922319,-1,0
18,0,7,10,0,10,8,0,2,2,0,0,0.388889,0.555556,0,0.7,0.555556,1.294118,-0.928063,-1.122569,-3.034721,-11,0
15,0,6,8,0,11,7,0,2,3,0,0,0.4,0.533333,0,0.75,0.733333,1.071429,-2.19245,-3.449836,-7.148755,-7,0
11,0,4,6,0,9,5,0,2,2,0,0,0.363636,0.545455,0,0.666667,0.818182,1.1,-2.757172,-2.917183,-3.470107,-3,0
12,0,6,5,0,11,7,0,2,1,0,0,0.5,0.416667,0,1.2,0.916667,1.090909,-1.05812,-1.118034,-2.762551,-5,0
17,0,5,11,0,15,6,0,1,3,0,0,0.294118,0.647059,0,0.454545,0.882353,1,-1.467103,-2.894226,-6.63953,-9,0
21,0,8,11,0,13,10,0,2,2,0,0,0.380952,0.52381,0,0.727273,0.619048,1.1,-4.848134,-5.965544,-7.125377,-10.333333,0
19,0,6,12,0,14,7,0,1,3,0,0,0.315789,0.631579,0,0.5,0.736842,1.055556,-3.52057,-5.774958,-5.86395,-12,0
10,0,3,6,0,9,4,0,1,3,0,0,0.3,0.6,0,0.5,0.9,1.111111,-1.166581,-3.375929,-3.03564,-1,0
